Datetime,Adj Close,Close,High,Low,Open,Volume
2022-04-20,35160.7890625,35160.7890625,35315.3984375,34962.671875,34962.671875,337620000
2022-04-21,34792.76171875,34792.76171875,35492.21875,34723.8203125,35258.80078125,366390000
2022-04-22,33811.3984375,33811.3984375,34727.37890625,33773.390625,34727.37890625,373280000
2022-04-25,34049.4609375,34049.4609375,34106.01171875,33323.37109375,33731.6484375,416900000
2022-04-26,33240.1796875,33240.1796875,33909.51171875,33230.94921875,33907.48828125,400020000
2022-04-27,33301.9296875,33301.9296875,33697.1796875,33108.890625,33450.921875,447230000
2022-04-28,33916.390625,33916.390625,34054.7890625,33248.4609375,33425.9609375,440380000
2022-04-29,32977.2109375,32977.2109375,33919.58984375,32913.1484375,33787.01171875,501560000
2022-05-02,33061.5,33061.5,33224.94921875,32449.869140625,32978.48828125,453390000
2022-05-03,33128.7890625,33128.7890625,33341.578125,32914.75,33086.08984375,364420000
2022-05-04,34061.05859375,34061.05859375,34117.73828125,33021.83984375,33171.80078125,411060000
2022-05-05,32997.96875,32997.96875,33854.171875,32685.099609375,33854.171875,448420000
2022-05-06,32899.37109375,32899.37109375,33055.83984375,32474.689453125,32773.87890625,416520000
2022-05-09,32245.69921875,32245.69921875,32685.169921875,32121.98046875,32685.169921875,470770000
2022-05-10,32160.740234375,32160.740234375,32752.169921875,31887.890625,32504.08984375,439290000
2022-05-11,31834.109375,31834.109375,32584.01953125,31798.859375,32123.240234375,458460000
2022-05-12,31730.30078125,31730.30078125,31914.4609375,31228.220703125,31699.0390625,544240000
2022-05-13,32196.66015625,32196.66015625,32276.05078125,31862.7890625,31963.859375,388520000
2022-05-16,32223.419921875,32223.419921875,32514.01953125,31928.1796875,32152.150390625,330030000
2022-05-17,32654.58984375,32654.58984375,32689.140625,32308.150390625,32427.0,389310000
2022-05-18,31490.0703125,31490.0703125,32468.669921875,31393.94921875,32468.669921875,465060000
2022-05-19,31253.130859375,31253.130859375,31569.130859375,31016.41015625,31262.619140625,517190000
2022-05-20,31261.900390625,31261.900390625,31515.779296875,30635.759765625,31426.939453125,495510000
2022-05-23,31880.240234375,31880.240234375,31968.419921875,31395.890625,31395.890625,402010000
2022-05-24,31928.619140625,31928.619140625,32014.859375,31365.58984375,31717.609375,382950000
2022-05-25,32120.279296875,32120.279296875,32254.439453125,31754.330078125,31816.310546875,343460000
2022-05-26,32637.189453125,32637.189453125,32774.140625,32248.169921875,32248.169921875,351220000
2022-05-27,33212.9609375,33212.9609375,33213.62109375,32682.009765625,32735.08984375,328770000
2022-05-31,32990.12109375,32990.12109375,33240.21875,32752.33984375,33160.58984375,533560000
2022-06-01,32813.23046875,32813.23046875,33272.33984375,32584.759765625,33156.30859375,338210000
2022-06-02,33248.28125,33248.28125,33248.609375,32509.4296875,32809.01171875,333210000
2022-06-03,32899.69921875,32899.69921875,33135.609375,32839.2109375,32986.3203125,298570000
2022-06-06,32915.78125,32915.78125,33235.37109375,32819.5,33032.0390625,253010000
2022-06-07,33180.140625,33180.140625,33207.44921875,32641.849609375,32783.03125,270750000
2022-06-08,32910.8984375,32910.8984375,33156.5,32824.37109375,33087.0703125,270470000
2022-06-09,32272.7890625,32272.7890625,32956.73046875,32267.779296875,32828.62109375,289710000
2022-06-10,31392.7890625,31392.7890625,32053.51953125,31387.83984375,32053.51953125,362300000
2022-06-13,30516.740234375,30516.740234375,31144.91015625,30373.720703125,31144.91015625,472290000
2022-06-14,30364.830078125,30364.830078125,30690.80078125,30144.23046875,30592.33984375,366800000
2022-06-15,30668.529296875,30668.529296875,31011.970703125,30185.080078125,30570.5,392670000
2022-06-16,29927.0703125,29927.0703125,30305.740234375,29740.349609375,30305.740234375,442910000
2022-06-17,29888.779296875,29888.779296875,30167.51953125,29653.2890625,29912.69921875,692830000
2022-06-21,30530.25,30530.25,30653.98046875,30074.689453125,30074.689453125,376900000
2022-06-22,30483.130859375,30483.130859375,30777.919921875,30166.009765625,30352.5703125,343490000
2022-06-23,30677.359375,30677.359375,30715.630859375,30293.400390625,30570.330078125,361420000
2022-06-24,31500.6796875,31500.6796875,31517.2890625,30846.939453125,30846.939453125,465480000
2022-06-27,31438.259765625,31438.259765625,31598.58984375,31351.369140625,31533.599609375,309910000
2022-06-28,30946.990234375,30946.990234375,31885.08984375,30934.330078125,31549.05078125,350780000
2022-06-29,31029.310546875,31029.310546875,31152.9609375,30894.529296875,31067.41015625,269390000
2022-06-30,30775.4296875,30775.4296875,30979.849609375,30431.869140625,30790.0,394070000
2022-07-01,31097.259765625,31097.259765625,31139.349609375,30487.7890625,30737.76953125,310440000
2022-07-05,30967.8203125,30967.8203125,30971.740234375,30355.119140625,30903.119140625,323080000
2022-07-06,31037.6796875,31037.6796875,31224.689453125,30794.83984375,30957.30078125,289800000
2022-07-07,31384.55078125,31384.55078125,31421.83984375,31154.640625,31190.650390625,296620000
2022-07-08,31338.150390625,31338.150390625,31511.4609375,31212.44921875,31348.4296875,238120000
2022-07-11,31173.83984375,31173.83984375,31367.55078125,31114.400390625,31277.98046875,245020000
2022-07-12,30981.330078125,30981.330078125,31346.099609375,30860.509765625,31113.310546875,324190000
2022-07-13,30772.7890625,30772.7890625,30979.169921875,30514.609375,30743.630859375,291830000
2022-07-14,30630.169921875,30630.169921875,30680.119140625,30143.9296875,30451.80078125,325130000
2022-07-15,31288.259765625,31288.259765625,31288.259765625,30775.369140625,30775.369140625,321570000
2022-07-18,31072.609375,31072.609375,31644.6796875,30982.970703125,31475.98046875,309960000
2022-07-19,31827.05078125,31827.05078125,31842.25,31165.91015625,31165.91015625,378720000
2022-07-20,31874.83984375,31874.83984375,31944.44921875,31646.94921875,31829.990234375,313520000
2022-07-21,32036.900390625,32036.900390625,32040.630859375,31534.080078125,31826.490234375,302320000
2022-07-22,31899.2890625,31899.2890625,32219.25,31731.470703125,32167.919921875,319880000
2022-07-25,31990.0390625,31990.0390625,32029.029296875,31821.669921875,31950.9296875,255450000
2022-07-26,31761.5390625,31761.5390625,31950.0390625,31705.359375,31950.0390625,324930000
2022-07-27,32197.58984375,32197.58984375,32336.23046875,31799.4296875,31865.05078125,365480000
2022-07-28,32529.630859375,32529.630859375,32609.5390625,31982.609375,32197.619140625,331110000
2022-07-29,32845.12890625,32845.12890625,32910.1796875,32493.01953125,32515.619140625,487360000
2022-08-01,32798.3984375,32798.3984375,32972.03125,32640.7890625,32755.7109375,321180000
2022-08-02,32396.169921875,32396.169921875,32772.9296875,32387.119140625,32691.2890625,316740000
2022-08-03,32812.5,32812.5,32912.73828125,32514.2109375,32514.2109375,342160000
2022-08-04,32726.8203125,32726.8203125,32829.21875,32652.630859375,32805.69140625,315590000
2022-08-05,32803.46875,32803.46875,32814.609375,32489.619140625,32593.900390625,273010000
